NDC NUMBER,ITEM DESCRIPTION,QUANTITY,PACKAGE SIZE,PACKAGE SIZE QUANTITY,INVOICE DATE
91237-0001-17,Easy Mini Lancing Device - Home,100,1,100,11/13/2024
00000-0300-08,Vials 8 DR Amber Reversible Dual,7,0,0,01/13/2025
00000-0300-30,Vials 30 DR Amber Reversible,6,0,0,01/13/2025
00000-0300-40,Vials 40 DR Amber Reversible,2,0,0,01/13/2025
00000-0300-60,Vials 60 DR Amber Reversible,1,0,0,01/13/2025
00000-0300-08,Vials 8 DR Amber Reversible Dual,6,0,0,04/29/2025
00000-0300-13,Vials 13 DR Amber Reversible,1,0,0,04/29/2025
00000-0300-30,Vials 30 DR Amber Reversible,1,0,0,04/29/2025
00000-0300-40,Vials 40 DR Amber Reversible,1,0,0,04/29/2025
00000-0300-60,Vials 60 DR Amber Reversible,1,0,0,04/29/2025
00000-0300-08,Vials 8 DR Amber Reversible Dual,8,0,0,07/01/2025
00000-0300-13,Vials 13 DR Amber Reversible,5,0,0,07/01/2025
00000-0300-30,Vials 30 DR Amber Reversible,2,0,0,07/01/2025
00000-0300-40,Vials 40 DR Amber Reversible,2,0,0,07/01/2025
00000-0300-60,Vials 60 DR Amber Reversible,1,0,0,07/01/2025
00000-0037-05,Bottles 8OZ CR Amber Plastic,1,0,0,07/01/2025
00000-0060-39,Bottles 12OZ CR Amber Plastic,1,0,0,07/01/2025
