NDC CODE,ITEM DESCRIPTION,QTY ORDERED,PACKAGE SIZE,INVOICE DATE
00536-1294-97,DICLOFENAC SODIUM(U) 1% GEL,15,100,12/15/2024
70377-0007-13,ROSUVASTATIN (U) 10MG TAB,22,500,12/15/2024
00002-1484-80,MOUNJARO 7.5MG/0.5ML INJ,8,2,12/15/2024
65862-0560-99,PANTOPRAZOLE (U) 40MG TAB,25,1000,12/15/2024
69238-1311-09,PREGABALIN 50MG CAP,12,90,12/15/2024
00904-7591-80,FERROUS SULFATE (U) 325MG,20,1000,12/15/2024
59651-0214-30,AZELASTINE HYDROCHLO,18,30,12/15/2024
75834-0257-01,ATORVASTATIN 40MG TAB,28,1000,12/15/2024
31722-0522-01,HYDRALAZINE HCL(U) 100MG TAB,22,100,12/15/2024
68180-0963-01,ALBUTEROL(U),10,8.5,12/15/2024

