NDC NUMBER,ITEM DESCRIPTION,QUANTITY,PACKAGE SIZE,PACKAGE SIZE QUANTITY,INVOICE DATE
65862-0357-05,CLOPIDOGREL TAB 75MG,1,500,500,12/01/2025
00193-7311-50,ASCENSIA CONTOUR NEXT,2,50,100,12/01/2025
83980-0006-01,PROPRANOLOL TAB 20MG,1,100,100,12/01/2025
70010-0135-01,POTASSIUM CHL TAB 20MEQ,2,100,200,12/01/2025
72888-0033-01,AMANTADINE CAP 100MG,1,100,100,12/01/2025
00093-6816-73,BUDESONIDE INH SUSP.5MG/,1,60,60,12/01/2025
00006-0112-31,JANUVIA TAB 50MG,1,30,30,12/01/2025
00003-0894-21,ELIQUIS TAB 5MG,4,60,240,12/01/2025
00597-0153-30,JARDIANCE TABS 25MG,1,30,30,12/01/2025
00487-9601-30,BUDESONIDE INH.25MG/2ML,1,60,60,12/01/2025
76204-0600-30,IPRATROP/ALBUT 0.5/3MG/3ML,3,90,270,12/01/2025
00173-0893-10,TRELEGY ELLIPTA,1,60,60,12/01/2025
00169-4130-13,OZEMPIC 1MG SOL PEN INJ 4MG,1,3,3,12/01/2025
00169-4314-30,RYBELSUS TAB 14MG,1,30,30,12/01/2025
00002-1457-80,MOUNJARO 15MG/5ML PREF,1,2,2,12/01/2025
66993-0079-96,FLUTICASONE PROP HFA INH,1,12,12,12/01/2025
51759-0305-10,UZEDY PF SYR 50MG/0.14ML,1,0.14,0.14,12/01/2025
00143-9144-02,LIRAGLUTIDE INJ 3ML PEN 2PK,1,6,6,12/01/2025
53885-0011-10,ONE TOUCH DELICA + 30G,10,100,1000,11/28/2025
72205-0280-60,SACUBITRIL/VALSAR TB,3,60,180,11/28/2025
68180-0468-01,LOVASTATIN TAB 20MG,1,100,100,11/28/2025
23155-0234-01,GLYBURIDE/METFORM,2,100,200,11/28/2025
00574-2042-30,LIDOCAINE/PRILOCAINE CR 2.5%,3,30,90,11/28/2025
00046-1102-81,PREMARIN TABS.625MG RED,1,100,100,11/28/2025
00006-0577-61,JANUMET TABS 50/1000MG,3,60,180,11/28/2025
00024-4142-60,MULTAQ 400MG,1,60,60,11/28/2025
00597-0152-30,JARDIANCE TABS 10MG,1,30,30,11/28/2025
68180-0537-01,DICLOFENAC TOP SOL 2%,1,112,112,11/28/2025
53885-0244-50,ONE TOUCH ULTRA STRIP 50CT,2,50,100,11/28/2025
31722-0539-60,LEVETIRACETAM TAB 1000MG,1,60,60,11/28/2025
70748-0332-03,PREDNISOLONE ACE SUSP 1%,1,10,10,11/28/2025
42571-0137-25,KETOROLAC OPTH SOL 0.5%,1,5,5,11/28/2025
00597-0153-30,JARDIANCE TABS 25MG,1,30,30,11/28/2025
00169-4181-13,OZEMPIC.25MG PEN INJ 3ML,1,3,3,11/26/2025
00597-0152-30,JARDIANCE TABS 10MG,1,30,30,11/26/2025
53885-0244-50,ONE TOUCH ULTRA STRIP 50CT,2,50,100,11/26/2025
75907-0023-48,CLONIDINE TD PATCH.1MG,3,4,12,11/26/2025
00093-6816-73,BUDESONIDE INH SUSP.5MG/,2,60,120,11/26/2025
00002-1434-80,TRULICITY PENS 1.5MG/0.5ML,1,2,2,11/26/2025
00006-0277-31,JANUVIA TABS 100MG,2,30,60,11/26/2025
60258-0160-01,RENA-VITE .8MG,2,100,200,11/26/2025
31722-0539-60,LEVETIRACETAM TAB 1000MG,2,60,120,11/26/2025
65862-0598-05,TAMSULOSIN CAP.4MG,1,500,500,11/26/2025
70010-0135-01,POTASSIUM CHL TAB 20MEQ,1,100,100,11/26/2025
68382-0095-05,CARVEDILOL TAB 25MG,1,500,500,11/26/2025
24208-0486-10,DORZOLAMIDE/TIMOL OPTH SOL,5,10,50,11/26/2025
72578-0150-01,ACETAZOLAMIDE TAB 250MG,1,100,100,11/26/2025
72205-0282-60,SACUBITRIL/VALSAR TB,1,60,60,11/26/2025
50458-0579-30,XARELTO TAB 20MG,1,30,30,11/26/2025
00378-9671-30,IPRATROP/ALBUT 0.5/3MG 3ML,3,90,270,11/26/2025
56151-1460-01,TRUE METRIX STRIPS RETAIL 100,2,100,200,11/26/2025
64380-0769-21,PEG-3350 + ELECTRO SOL 4LTR,6,4000,24000,11/25/2025
00088-2219-05,LANTUS PEN SOLO STAR 5X3ML,3,15,45,11/25/2025
00002-1460-80,MOUNJARO 12.5MG/.5ML PREF,1,2,2,11/25/2025
00002-1457-80,MOUNJARO 15MG/.5ML PREF,1,2,2,11/25/2025
68180-0537-01,DICLOFENAC TOP SOL 2%,1,112,112,11/25/2025
00597-0153-30,JARDIANCE TABS 25MG,1,30,30,11/25/2025
00456-1201-30,LINZESS CAP 145MCG,1,30,30,11/25/2025
00597-0024-02,COMBIVENT RESPIMAT SPR,1,4,4,11/25/2025
00310-9080-12,AIRSUPRA 90MCG/80MCG PMDI,1,10.7,10.7,11/25/2025
00093-3109-05,AMOXICILLIN 500MG CAP,200,100,20000,11/24/2025
60505-0258-01,METFORMIN 500MG TAB,1000,100,100000,11/24/2025
00178-0500-01,ZOLPIDEM 10MG TAB,30,30,900,11/24/2025
00378-3951-77,ATORVASTATIN 20MG TAB,300,90,27000,11/24/2025

