NDC,DRUG NAME,RANK,PKG SIZE,"TOTAL
ORDERED-O","TOTAL
BILLED-B","TOTAL
SHORTAGE-S","HIGHEST
SHORTAGE-S",AMOUNT,COST,"BILLED
CVS CAREMARK-B","SHORTAGE
CVS CAREMARK-S","BILLED
EXPRESS SCRIPTS-B","SHORTAGE
EXPRESS SCRIPTS-S","BILLED
HORIZON HEALTH-B","SHORTAGE
HORIZON HEALTH-S","BILLED
NJ MEDICAID-B","SHORTAGE
NJ MEDICAID-S","BILLED
SS&C (FORMERLY HUMANA, ARGUS, AND DST)-B","SHORTAGE
SS&C (FORMERLY HUMANA, ARGUS, AND DST)-S","BILLED
CASH-B","SHORTAGE
CASH-S","ORDERED
SMITH DRUGS-O","ORDERED
KINRAY-O","ORDERED
LEGACY HEALTH-O","ORDERED
ALPINE HEALTH-O","ORDERED
AKRON GENERICS-O"
00003-0894-21,ELIQUIS 5MG TAB,1,60,240,3,237,,1647,1519.45,3,237,,,,,3,237,,,,,240,,,,
00003-0893-21,ELIQUIS 2.5MG TAB,2,60,0,2,-2,-2,1044,1044.03,,,2,-2,,,,,,,,,,,,,
00002-1484-80,MOUNJARO 7.5MG/0.5ML INJ,3,2,0,1,-1,-1,983,983.07,,,1,-1,,,,,,,,,,,,,
70727-0529-25,ROCKLATAN 0.2-0.05MG/ML,4,2.5,0,3,-3,-3,913,913.35,,,3,-3,,,,,,,,,,,,,
00597-0152-30,JARDIANCE 10MG TAB,5,30,60,1,59,,605,605.26,1,59,,,,,,,,,,,60,,,,
73336-0075-30,GEMTESA 75MG TAB,6,30,0,1,-1,-1,467,467.73,1,-1,,,,,,,,,,,,,,,
45802-0578-84,NALOXONE (U) HYDROCHLORI,7,2,16,3,13,,202,67.45,,,,,,,3,13,,,,,,,16,,
70074-0649-31,ENSURE VANILLA,8,5688,0,3.75,-3.75,,179,179.35,,,,,3.75,-3.75,,,,,,,,,,,
43598-0510-90,ESOMEPRAZOLE 40MG CAP,9,90,0,1,-1,-1,152,152.04,1,-1,,,,,,,,,,,,,,,
00088-2219-05,LANTUS SOLOSTAR 100U/ML INJ,10,15,45,2,43,,146,146.49,,,,,,,,,2,43,,,45,,,,
61314-0637-05,PREDNISOLONE ACETATE 1% SUSP,11,5,0,3,-3,-3,67,67.69,,,3,-3,,,,,,,,,,,,,
64380-0160-02,MEGESTROL ACETATE 40MG/ML,12,480,0,0.63,-0.63,,45,45.12,,,0.63,-0.63,,,,,,,,,,,,,
00536-1279-35,CETIRIZINE HYDROCHLO,13,24,0,2.5,-2.5,-2.5,34,34.43,,,,,2.5,-2.5,,,,,,,,,,,
45802-0400-49,CICLOPIROX OLAMINE 0.77%,14,30,0,1,-1,-1,29,29.75,,,,,1,-1,,,,,,,,,,,
68180-0963-01,ALBUTEROL,15,8.5,0,1,-1,-1,24,24.63,,,,,1,-1,,,,,,,,,,,
70377-0007-13,ROSUVASTATIN (U) 10MG TAB,16,500,0,0.18,-0.18,,20,20.57,0.18,-0.18,,,,,,,,,,,,,,,
33342-0075-10,VALSARTAN HCTZ 160-12.5MG,17,90,0,1,-1,-1,17,17.51,,,1,-1,,,,,,,,,,,,,
51672-1301-02,AMMONIUM LACTATE 12% CRM,18,140,0,2,-2,-1,16,5.65,1,-1,,,1,-1,,,,,,,,,,,
68180-0968-03,LEVOTHYROXINE SODIUM,19,1000,0,0.09,-0.09,,16,16.4,,,0.09,-0.09,,,,,,,,,,,,,
70954-0662-10,KETOCONAZOLE 2% SHAM,20,120,0,2,-2,-1,13,6.05,1,-1,,,1,-1,,,,,,,,,,,
50742-0279-01,DICLOFENAC POTASSIUM,21,100,0,0.6,-0.6,-0.6,12,12.82,,,0.6,-0.6,,,,,,,,,,,,,
00536-1294-97,DICLOFENAC SODIUM(U) 1% GEL,22,100,0,1,-1,-1,11,11.75,,,,,1,-1,,,,,,,,,,,
60505-2578-08,ATORVASTATIN(U) 10MG TAB,23,1000,0,0.09,-0.09,,9,9.67,0.09,-0.09,,,,,,,,,,,,,,,
59651-0214-30,AZELASTINE HYDROCHLO,24,30,0,1,-1,-1,9,9.28,,,1,-1,,,,,,,,,,,,,
68462-0396-10,OMEPRAZOLE 20MG CAP,25,1000,0,0.15,-0.15,,9,3.35,0.09,-0.09,,,0.06,-0.06,,,,,,,,,,,
45802-0257-35,MOMETASONE FUROATE 0.1%,26,15,0,1,-1,-1,6,6.5,,,,,1,-1,,,,,,,,,,,
45802-0465-64,KETOCONAZOLE 2% SHAMPOO,27,120,0,1,-1,-1,6,6.05,1,-1,,,,,,,,,,,,,,,
76204-0200-30,ALBUTEROL SULFATE(N) 0.083%,28,90,0,1,-1,-1,6,6.02,,,,,1,-1,,,,,,,,,,,
21922-0025-04,KETOCONAZOLE (U) 2% CRM,29,15,0,1,-1,-1,5,5,,,,,1,-1,,,,,,,,,,,
50228-0146-10,HYDROCHLOROTHIAZIDE,30,1000,0,0.09,-0.09,,4,4.9,0.09,-0.09,,,,,,,,,,,,,,,
72205-0025-99,ATORVASTATIN CALCIUM,31,1000,0,0.09,-0.09,,4,4.67,0.09,-0.09,,,,,,,,,,,,,,,
29300-0169-15,TIZANIDINE HCL 4MG TAB,32,150,0,0.4,-0.4,,4,4.55,,,,,0.4,-0.4,,,,,,,,,,,
69097-0128-15,AMLODIPINE BESYLATE (U) 10MG,33,1000,0,0.18,-0.18,,3,1.95,0.09,-0.09,0.09,-0.09,,,,,,,,,,,,,
58657-0164-01,MULTIVIT/FLUOR 0.5MG CHEW,34,100,0,0.3,-0.3,,3,3.5,,,,,0.3,-0.3,,,,,,,,,,,
67877-0321-05,IBUPROFEN(U) 800MG TAB,35,500,0,0.04,-0.04,,2,2.43,,,,,0.04,-0.04,,,,,,,,,,,
69618-0019-59,CHOLECALCIFEROL 400IU/ML,36,50,0,1,-1,-1,2,2.42,1,-1,,,,,,,,,,,,,,,
31722-0551-90,LEVOCETIRIZINE (U) 5MG TAB,37,90,0,0.33,-0.33,,1,1.65,0.33,-0.33,,,,,,,,,,,,,,,
31722-0522-01,HYDRALAZINE HCL(U) 100MG TAB,38,100,0,0.3,-0.3,,1,1.49,0.3,-0.3,,,,,,,,,,,,,,,
60505-2579-08,ATORVASTATIN (U) 20MG TAB,39,1000,0,0.09,-0.09,,1,1.4,,,0.09,-0.09,,,,,,,,,,,,,
65862-0560-99,PANTOPRAZOLE (U) 40MG TAB,40,1000,0,0.03,-0.03,,1,1.39,0.03,-0.03,,,,,,,,,,,,,,,
